id,profession,category,title,item,priority,keywords
CL-001,general,before_interview,"Изучить вакансию","Выпишите ключевые требования и отметьте, каким вашим опытом подтверждается каждое из них.",high,"вакансия;требования"
CL-002,general,before_interview,"Изучить компанию","Посмотрите сайт, продукты, новости и отзывы сотрудников; сформулируйте, чем вам интересна компания.",high,"компания;продукт"
CL-003,general,before_interview,"Сверить резюме с вакансией","Перечитайте резюме: всё, что в нём написано, вы должны уверенно раскрыть на интервью.",high,"резюме"
CL-004,general,before_interview,"Подготовить 3–5 историй по STAR","Выберите случаи о достижениях, конфликтах, ошибках и сложных задачах; для каждого сформулируйте измеримый результат.",high,"STAR;примеры"
CL-005,general,before_interview,"Подготовить рассказ о себе","Отрепетируйте рассказ на 1–2 минуты: текущая роль, ключевые достижения, почему интересна эта вакансия.",medium,"самопрезентация"
CL-006,general,before_interview,"Подготовить вопросы работодателю","Составьте 3–5 вопросов о задачах, команде, критериях успеха на испытательном сроке и следующих этапах.",medium,"вопросы работодателю"
CL-007,general,before_interview,"Определить ожидания по зарплате","Изучите рынок и определите диапазон, который готовы обсуждать.",medium,"зарплата;оффер"
CL-008,general,documents,"Резюме","Распечатайте 2 экземпляра для очной встречи или держите PDF под рукой для онлайн-интервью.",high,"резюме"
CL-009,general,documents,"Паспорт","Возьмите паспорт: он может понадобиться для пропуска в офис.",high,"пропуск;офис"
CL-010,general,documents,"Контакты рекрутера","Сохраните имя и телефон рекрутера, чтобы предупредить его, если опаздываете.",high,"рекрутер"
CL-011,general,documents,"Блокнот и ручка","Записывайте имена интервьюеров, детали задач и договорённости.",medium,"заметки"
CL-012,general,documents,"Список ваших вопросов","Возьмите заранее подготовленные вопросы работодателю.",medium,"вопросы работодателю"
CL-013,general,documents,"Дипломы и сертификаты","Подготовьте копии или ссылки, если они указаны в требованиях вакансии.",low,"сертификаты;образование"
CL-014,general,appearance,"Одежда по дресс-коду компании","Ориентируйтесь на фото офиса и сотрудников; если не уверены, выберите нейтральный деловой стиль чуть формальнее обычного.",high,"дресс-код"
CL-015,general,appearance,"Подготовить одежду накануне","Одежда должна быть чистой, выглаженной и удобной; проверьте её вечером, а не утром перед выходом.",medium,"одежда"
CL-016,general,appearance,"Опрятный вид","Причёска, руки и обувь должны выглядеть аккуратно; избегайте резких ароматов.",medium,"опрятность"
CL-017,general,appearance,"Онлайн-интервью — тоже полный образ","Одевайтесь так же, как на очную встречу: это помогает держаться собранно.",medium,"онлайн"
CL-018,general,appearance,"Фон и свет","Сядьте лицом к источнику света, уберите лишнее из кадра или включите нейтральный фон.",medium,"онлайн;камера"
CL-019,general,appearance,"Однотонная одежда для видео","Мелкий узор и полоски на видео рябят, однотонная одежда выглядит спокойнее.",low,"онлайн;камера"
CL-020,general,final_check,"Камера и микрофон","Сделайте тестовый звонок в той же программе, в которой пройдёт интервью.",high,"онлайн;камера;микрофон"
CL-021,general,final_check,"Интернет","Держите мобильный интернет как резервный канал на случай обрыва связи.",high,"онлайн;интернет"
CL-022,general,final_check,"Ссылка на встречу","Зайдите в программу за 5–10 минут, обновите её и проверьте имя в профиле.",high,"онлайн;ссылка"
CL-023,general,final_check,"Маршрут до офиса","Для очной встречи проложите маршрут, заложите 20–30 минут запаса и уточните, как пройти в здание.",high,"офис;маршрут"
CL-024,general,final_check,"Заряд устройств","Зарядите ноутбук и телефон, подготовьте зарядку и наушники.",medium,"ноутбук;наушники"
CL-025,general,final_check,"Никаких отвлекающих факторов","Отключите уведомления, закройте лишние вкладки и предупредите близких.",medium,"уведомления"
CL-026,general,during_interview,"Дослушивать вопрос до конца","Не перебивайте; если вопрос непонятен, переформулируйте его своими словами и уточните.",high,"коммуникация"
CL-027,general,during_interview,"Отвечать по структуре STAR","Ситуация, задача, ваши действия и результат; отделяйте свой вклад от вклада команды.",high,"STAR"
CL-028,general,during_interview,"Подкреплять результаты цифрами","Называйте сроки, деньги, проценты, количество пользователей — всё, что можно измерить.",high,"метрики;результат"
CL-029,general,during_interview,"Говорить честно","Если не знаете ответа, скажите об этом и объясните, как бы искали решение.",high,"честность"
CL-030,general,during_interview,"Следить за длиной ответа","Оптимально 1–2 минуты на ответ; спросите, нужно ли раскрыть детали.",medium,"тайминг"
CL-031,general,during_interview,"Не критиковать прошлых работодателей","Говорите о причинах смены работы нейтрально, через свои цели.",medium,"этика"
CL-032,general,during_interview,"Записывать важное","Фиксируйте детали задач и имена, чтобы в конце задать точные вопросы.",low,"заметки"
CL-033,general,end_interview,"Задать подготовленные вопросы","Спросите о задачах на первые 3 месяца, команде и критериях успеха.",high,"вопросы работодателю"
CL-034,general,end_interview,"Уточнить следующий этап","Узнайте, какие этапы остались и когда ждать обратную связь.",high,"следующий этап;сроки"
CL-035,general,end_interview,"Кратко подвести итог","В 2–3 предложениях скажите, почему вам интересна позиция и чем вы будете полезны команде.",medium,"самопрезентация"
CL-036,general,end_interview,"Уточнить контакт для связи","Спросите, к кому обращаться с дополнительными вопросами.",medium,"рекрутер"
CL-037,general,end_interview,"Поблагодарить за время","Поблагодарите интервьюеров независимо от ощущений от встречи.",medium,"этикет"
CL-038,general,end_interview,"Не поднимать тему зарплаты первым без повода","Если тему не затронули, уточните у рекрутера, на каком этапе её обсуждают.",low,"зарплата"
CL-039,general,after_interview,"Отправить благодарность","В течение суток напишите рекрутеру короткое письмо с благодарностью и подтверждением интереса.",high,"рекрутер;письмо"
CL-040,general,after_interview,"Записать вопросы и свои ответы","Сразу после встречи запишите, какие вопросы задавали и где ответы получились слабыми.",high,"рефлексия"
CL-041,general,after_interview,"Разобрать ошибки","Подготовьте улучшенные ответы на вопросы, которые вызвали затруднения.",high,"разбор;STAR"
CL-042,general,after_interview,"Сдать тестовое задание в срок","Если дали тестовое задание, уточните критерии оценки и сдайте его вовремя.",medium,"тестовое задание"
CL-043,general,after_interview,"Напомнить о себе","Если в оговорённый срок ответа нет, вежливо уточните статус у рекрутера.",medium,"рекрутер;обратная связь"
CL-044,general,after_interview,"Продолжать другие собеседования","Не останавливайте поиск, пока не получите оффер в письменном виде.",low,"оффер;поиск работы"
CL-045,analyst,documents,"Примеры артефактов","Подготовьте обезличенные примеры: BPMN-схему, user story, фрагмент ТЗ — без конфиденциальных данных.",medium,"BPMN;ТЗ;артефакты"
CL-046,manager,before_interview,"Кейсы с метриками проектов","Подготовьте 2–3 проекта с цифрами: бюджет, сроки, размер команды, результат.",high,"проект;метрики;бюджет"
CL-047,creative,documents,"Портфолио","Проверьте, что ссылка на портфолио открывается без авторизации, а в каждом кейсе описаны задача, ваша роль и результат.",high,"портфолио;кейсы"
CL-048,creative,before_interview,"Рассказ о процессе работы","Подготовьтесь объяснить путь от брифа до результата на одном кейсе из портфолио.",medium,"бриф;процесс;портфолио"
CL-049,technical,final_check,"Среда для live coding","Проверьте IDE, доступ к онлайн-редактору кода и демонстрацию экрана.",high,"live coding;IDE;онлайн"
CL-050,technical,documents,"GitHub и примеры кода","Убедитесь, что публичные репозитории аккуратны, а в README описано, что и зачем сделано.",medium,"GitHub;код;портфолио"
