id,profession,category,question,situation,task,action,result,keywords
STAR-001,analyst,behavioral,"Расскажите о случае, когда вам пришлось улучшить бизнес-процесс.","В отделе закупок согласование заявки занимало в среднем 12 рабочих дней, а заявки терялись в почте.","Мне как бизнес-аналитику поручили за квартал найти причины задержек и предложить новый процесс.","Я провёл интервью с 8 сотрудниками, описал процесс AS-IS в BPMN, нашёл 3 лишних этапа согласования, подготовил модель TO-BE и требования к доработке учётной системы и согласовал их с руководителем закупок.","После внедрения срок согласования сократился до 4 рабочих дней, а потерянных заявок за первые два месяца не было ни одной.","процесс;оптимизация;BPMN;требования"
STAR-002,analyst,behavioral,"Расскажите о случае, когда заказчики выдвигали противоречивые требования.","При разработке CRM отдел продаж хотел сократить карточку клиента, а юридический отдел — добавить 6 обязательных полей.","Мне нужно было согласовать единые требования до начала спринта, чтобы не сорвать релиз.","Я провёл отдельные интервью, выписал цели каждой стороны, подготовил кликабельный прототип с двумя вариантами и на общей встрече предложил показывать юридические поля только на этапе договора.","Обе стороны утвердили вариант за одну встречу, релиз вышел в срок, а время заполнения карточки сократилось с 7 до 4 минут.","требования;согласование;стейкхолдеры;прототип;CRM"
STAR-003,analyst,experience,"Расскажите о проекте, где ваша аналитика повлияла на результат бизнеса.","Интернет-магазин терял клиентов на шаге оплаты, но причины никто не знал.","Мне нужно было найти узкое место воронки и обосновать доработку для команды разработки.","Я написал SQL-запросы к данным о заказах, построил воронку по шагам и сегментам, обнаружил, что 60% отказов приходится на мобильных пользователей одного банка-эквайера, и подготовил требования к исправлению формы оплаты.","После доработки конверсия шага оплаты выросла на 9 процентных пунктов, что дало около 1,2 млн рублей дополнительной выручки в месяц.","SQL;метрики;воронка;конверсия;аналитика данных"
STAR-004,analyst,situational,"Как вы поступите, если заказчик просит крупную доработку за неделю до релиза?","За неделю до релиза модуля отчётности заказчик попросил добавить выгрузку в новый формат.","Нужно было сохранить дату релиза и не потерять доверие заказчика.","Я оценил доработку вместе с тимлидом, показал заказчику влияние на сроки, предложил выпустить релиз в срок, а выгрузку вынести в отдельный релиз через две недели, и зафиксировал договорённость в протоколе встречи.","Основной релиз вышел по плану, выгрузку выпустили через 12 дней, а заказчик продлил контракт на следующий этап.","изменение требований;релиз;приоритизация;scope;заказчик"
STAR-005,analyst,behavioral,"Опишите ситуацию, когда вам пришлось отстаивать своё решение перед командой разработки.","Команда разработки предлагала хранить историю статусов заявки в одном текстовом поле.","Мне нужно было убедить команду, что так не получится строить отчёты, которые требовал заказчик.","Я собрал три сценария отчётов из требований, показал на тестовых данных, какие запросы станут невозможны, и предложил отдельную таблицу истории с минимальным набором полей.","Команда приняла решение за одно обсуждение, а заказчик получил отчёты по срокам обработки заявок без доработок после релиза.","аргументация;разработка;SQL;коммуникация"
STAR-006,manager,behavioral,"Опишите случай, когда проект начал срывать сроки.","Проект запуска мобильного приложения отставал от плана на 3 недели из-за задержек интеграции с партнёром.","Как руководитель проекта я отвечал за запуск к маркетинговой кампании, дату которой нельзя было перенести.","Я пересобрал план с командой, выделил функции для первого релиза, договорился с партнёром о ежедневных созвонах и тестовом стенде, а остальные функции с согласия заказчика перенёс во второй релиз.","Первый релиз вышел к старту кампании и получил 40 тысяч установок за месяц, второй релиз вышел через 5 недель.","сроки;риски;управление проектом;приоритизация;планирование"
STAR-007,manager,behavioral,"Расскажите о конфликте в команде, который вам пришлось разрешать.","Два ведущих разработчика спорили о выборе фреймворка, и обсуждения на ретроспективах превращались в конфликт.","Мне нужно было снять напряжение и получить решение, которое поддержит вся команда.","Я поговорил с каждым отдельно, сформулировал критерии выбора, организовал двухдневный прототип обоих вариантов и сравнение по критериям на общей встрече.","Команда выбрала вариант единогласно, конфликт больше не повторялся, а скорость команды за следующий квартал выросла на 15%.","конфликт;команда;лидерство;коммуникация"
STAR-008,manager,experience,"Как вы выстраивали процессы в команде с нуля?","Я пришёл в команду из 7 человек, где не было планирования, а задачи приходили в личные сообщения.","Мне нужно было за 2 месяца наладить прозрачный процесс и предсказуемые сроки.","Я ввёл единый бэклог в Jira, двухнедельные спринты и короткие ежедневные встречи, а со стейкхолдерами договорился об одном канале для запросов.","Через 3 спринта команда выполняла 85% запланированных задач вместо примерно 40%, а срочных запросов в личные сообщения стало втрое меньше.","процессы;Agile;Scrum;команда;планирование"
STAR-009,creative,behavioral,"Расскажите о случае, когда заказчик не принял вашу работу.","Заказчик отклонил первую концепцию лендинга, сказав, что она «не про нас».","Мне нужно было за 5 рабочих дней предложить новую концепцию и не выйти за бюджет.","Я провёл короткое интервью с заказчиком, собрал 10 референсов, которые ему нравятся и не нравятся, выделил общие признаки и показал два варианта мудборда до отрисовки макета.","Вторую концепцию утвердили после одной итерации правок, лендинг запустили вовремя, а конверсия в заявку составила 6,5% при плане 4%.","заказчик;правки;бриф;концепция;лендинг"
STAR-010,creative,experience,"Расскажите о проекте, где вы улучшили пользовательский опыт.","В мобильном приложении банка 30% пользователей бросали оформление карты на третьем экране.","Как продуктовый дизайнер я отвечал за редизайн сценария оформления.","Я изучил записи сессий, провёл 6 юзабилити-интервью, сократил форму с 14 до 8 полей, добавил автозаполнение и протестировал прототип в Figma до передачи в разработку.","После релиза доля завершённых заявок выросла с 70% до 84%, а обращений в поддержку по оформлению стало вдвое меньше.","UX;юзабилити;Figma;исследования;дизайн"
