id,profession,category,question,difficulty,star_required,keywords
1,analyst,technical,"Чем REST отличается от SOAP?",easy,false,"REST;SOAP;API"
2,analyst,behavioral,"Расскажите о сложном проекте.",medium,true,"project;STAR"
3,analyst,requirements,"Как вы собираете требования?",medium,true,"requirements;BA"
4,analyst,sql,"Какие SQL JOIN вы знаете?",easy,false,"SQL;JOIN"
5,analyst,technical,"Чем бизнес-требования отличаются от функциональных и нефункциональных требований?",medium,false,"требования;функциональные требования;нефункциональные требования;BA"
6,analyst,technical,"Как вы описываете бизнес-процесс в нотации BPMN и какие элементы используете чаще всего?",medium,false,"BPMN;процессы;моделирование процессов"
7,analyst,technical,"Что такое user story и какие критерии приёмки вы к ней пишете?",medium,false,"user story;критерии приёмки;Agile;backlog"
8,analyst,technical,"Как вы спроектируете REST API для нового сервиса: ресурсы, методы, коды ответов?",hard,false,"REST;API;интеграции;Swagger"
9,analyst,technical,"Чем GROUP BY отличается от оконных функций в SQL? Приведите пример задачи.",medium,false,"SQL;оконные функции;GROUP BY;отчёты"
10,analyst,behavioral,"Расскажите о случае, когда заказчики выдвигали противоречивые требования. Как вы нашли решение?",medium,true,"требования;согласование;стейкхолдеры;коммуникация"
11,analyst,behavioral,"Опишите ситуацию, когда вам пришлось отстаивать своё решение перед командой разработки.",medium,true,"аргументация;разработка;коммуникация"
12,analyst,situational,"Заказчик просит добавить крупную функцию за неделю до релиза. Ваши действия?",medium,false,"изменение требований;релиз;приоритизация;scope"
13,analyst,situational,"Разработчики говорят, что требования из ТЗ невозможно реализовать в срок. Что вы сделаете?",hard,false,"ТЗ;сроки;декомпозиция;MVP"
14,analyst,situational,"Отчёт показывает падение конверсии на 20%. С чего вы начнёте анализ?",medium,false,"метрики;аналитика данных;конверсия;SQL"
15,analyst,experience,"Расскажите о проекте, где ваша аналитика заметно повлияла на результат бизнеса.",medium,true,"проект;метрики;результат"
16,analyst,experience,"Какие артефакты вы готовили на последнем проекте и кто ими пользовался?",medium,true,"документация;ТЗ;артефакты;Confluence"
17,manager,technical,"Чем Scrum отличается от Kanban и когда вы выберете каждый из подходов?",medium,false,"Scrum;Kanban;Agile;методологии"
18,manager,technical,"Как вы оцениваете сроки и трудоёмкость проекта? Какие техники используете?",medium,false,"оценка;планирование;сроки;декомпозиция"
19,manager,technical,"Как вы приоритизируете бэклог? Расскажите о RICE, MoSCoW или других методах.",medium,false,"приоритизация;backlog;RICE;MoSCoW"
20,manager,technical,"Какие метрики показывают вам, что проект или продукт идёт по плану?",hard,false,"метрики;KPI;отчётность;бюджет"
21,manager,behavioral,"Расскажите о конфликте в команде, который вам пришлось разрешать.",medium,true,"конфликт;команда;коммуникация;лидерство"
22,manager,behavioral,"Опишите случай, когда проект начал срывать сроки. Что вы сделали?",medium,true,"сроки;риски;управление проектом"
23,manager,behavioral,"Расскажите, как вы сообщили заказчику неприятную новость.",medium,true,"стейкхолдеры;коммуникация;заказчик"
24,manager,situational,"Ключевой разработчик уходит за месяц до релиза. Каков ваш план действий?",hard,false,"риски;команда;найм;релиз"
25,manager,situational,"Два стейкхолдера требуют противоположных приоритетов. Как вы примете решение?",medium,false,"стейкхолдеры;приоритизация;переговоры"
26,manager,situational,"Бюджет проекта сократили на 30%, а объём работ остался прежним. Что будете делать?",hard,false,"бюджет;scope;переговоры;планирование"
27,manager,experience,"Расскажите о самом сложном проекте, которым вы руководили: команда, сроки, результат.",medium,true,"проект;управление проектом;результат"
28,manager,experience,"Как вы выстраивали процессы в команде с нуля? Приведите пример.",medium,true,"процессы;команда;Agile;онбординг"
29,creative,technical,"Как вы строите дизайн-систему и что в неё обязательно входит?",medium,false,"дизайн-система;UI;Figma;компоненты"
30,creative,technical,"Как вы проверяете макет на доступность и читаемость?",easy,false,"доступность;accessibility;UI;контраст"
31,creative,technical,"Какие вопросы вы задаёте заказчику по брифу до начала работы?",medium,false,"бриф;заказчик;требования;креатив"
32,creative,technical,"Как вы измеряете эффективность креатива или контента?",medium,false,"метрики;A/B тест;контент;CTR"
33,creative,behavioral,"Расскажите о случае, когда заказчик не принял вашу работу. Как вы действовали?",medium,true,"заказчик;правки;обратная связь;коммуникация"
34,creative,behavioral,"Опишите ситуацию, когда вам пришлось работать в очень сжатые сроки.",medium,true,"сроки;приоритизация;дедлайн"
35,creative,behavioral,"Расскажите, как вы защищали своё решение перед командой или руководством.",medium,true,"аргументация;презентация;дизайн"
36,creative,situational,"Заказчик просит «сделать как у конкурента». Как вы поступите?",medium,false,"заказчик;бренд;конкуренты;позиционирование"
37,creative,situational,"Юзабилити-тест показал, что пользователи не находят ключевую кнопку. Ваши действия?",medium,false,"UX;юзабилити;исследования;итерации"
38,creative,situational,"Вы получили противоречивые правки от трёх разных людей. Что вы сделаете?",medium,false,"правки;стейкхолдеры;согласование"
39,creative,experience,"Расскажите о проекте из портфолио, которым вы гордитесь больше всего, и о своей роли в нём.",medium,true,"портфолио;проект;результат"
40,creative,experience,"Как изменился ваш подход к работе за последние два года? Приведите пример.",easy,true,"развитие;процесс;обратная связь"
41,technical,technical,"Чем процесс отличается от потока и когда вы используете асинхронность?",medium,false,"многопоточность;асинхронность;concurrency;Python"
